Flashing Lights,11,,Sometimes...,9,,Zoom,4,,M3tamorphosis,9,,Febuary Stars,10,
Everything I Am,10,,See You Again,11,,Of Course ,4,,Slay3r,10,,Everlong,12,
The Glory,10,,Who Dat Boy,9,,Shardai,4,,No Sl33p,8,,Walking After You,6,
Homecoming ,10,,Pothole,8,,HEROES & VILLIANS,,9.57,New Tank,8,,New Way Home,8,
Big Brother,10,,Garden Shed,9,,,,,Teen X,8,,The Color and the Shape,8,
Good Night,9,,Boredom,9.5,,On Time,10,,Meh,9,,Die Lit,,8.84
Simulation,,12.00,I Aint Got Time,7.5,,Superhero ,11,,Vamp Anthem,7,,,,
,,,911 / Mr Lonely,9.5,,Too Many Nights,11,,New N3on,10,,Long Time,9,
Login,,,Droppin Seeds,7,,Raindrops,9,,Control,10,,R.I.P,11,
Simulation,,,November ,9,,Umbrella,9,,Punk Monk,9,,Lean 4 Real,10,
Redline,12,,Glitter ,8,,Trance,9,,On That Time,9,,Old Money,9,
Dont Worry,,,"Enjoy Right Now, Today",6.5,,Around Me,8.5,,King Vamp,8,,Love Hurts,7.5,
Get Away,,,SOS,,11.00,Metro Spider,11,,Place,7,,Shoota,10,
CHROMA,,,,,,I Cant Save You,10,,Sky,9,,Right Now,9,
So Sorry,,,SOS,,,Creepin,9,,Over,8.5,,Poke it Out,7.5,
Rewrite,,,Kill Bill,,,Niagra Falls,10,,ILoveUIHateU,9,,Home,7,
Exile,,,Seek & Destroy,,,Walk Em Down,8.5,,Die4Guy,8,,Fell in Luv,10,
Touhou Riddim,,,Low,,,Lock On Me,8.5,,Not PLaying,8,,Foriegn,8.5,
Fork Funeral,,,Love Language,,,Feel the Fiyaaaah,10,,F33l Lik3 Dyin,9,,Pull Up,9,
Back In Time,,,Blind,,,All The Money,9,,The Life Of Pablo,,11.00,Mileage,8.5,
Dreaming,,,Used,,,Yeezus,,10.00,,,,FlatBed Freestyle,8,
Neon Angel,,,Snooze,,,,,,Ultralight Beam,,,No Time,8,
This Could Be Us,,,Notice Me,,,On Sight,12,,Father Stretch My Hands pt.1,11,,Middle of Summer,6,
Logout,,,Gone Girl,,,Black Skinhead,11,,pt. 2,,,Choppa Wont Miss,10,
Bossfight Afterparty,,,Smoking On My Ex Pack,,,I Am A God,11,,Famous,,,R.I.P Fredo ,10,
Redline - Color Bass,,,Ghost in thr Machine,,,New Slaves,11,,FeedBack,,,Top,10,
Lost Angeles,,,F2F,,,Hold My Liquor,11,,Low Lights,,,Thirteenth Step,,#DIV/0!
Dream Logic,,,Nobody Gets Me,,,Im In It,10,,Highlights,,,,,
How Do I Know,,,Conceited,,,Blood On The Leaves,7,,Freestyle 4,,,The Package,,
This Could Be Us - Chill,,,Special,,,Guilt Trip,10,,I Love Kanye,,,Weak And Powerless,,
(III),,7.71,Too Late,,,Send It Up,5,,Waves,,,The Noose,,
,,,Far,,,Bound 2,12,,FML,,,Blue,,
Plague,8,,Shirt,11,,1989,,#DIV/0!,Real Freinds,,,Vanishing,,
Kerosene,11,,Open Arms,,,,,,Wolves,,,A Stranger,,
Wrath Of God,8,,I Hate U,,,Welcome To New York,,,Frank's Track,,,The Outsider,,
Affection,5,,Good Days,,,Blank Space,,,Siiiiiiilver Surffffeeeeeeer Intermission,,,Crimes,,
Pale Flesh,5,,Forgiveless,,,Style,,,30 Hours,,,The Nurse Who Loved Me,,
Sad Eyes,6,,Guts,,9.42,Out Of The Woods,,,No More Parties In LA,,,Pet,,
Insulin,7.5,,,,,All You Had To Do Is Stay,,,Facts,,,Lullaby,,
Transgender,9,,all american bit,9,,Shake It Off,,,Fade,,,Gravity,,
Violent Youth,8,,bad idea right?,7,,I Wish You Would,,,Saint Pablo,,,,,
Telepath,8.5,,vampire,12,,Bad Blood,,,,,,,,
Mercenary,9,,lacy,9.5,,Wildest Dreams,,,,,,,,
Child I Will Hurt You,7.5,,ballad of a homeschooled girl,11,,How You Get The Girl,,,,,,,,
,,,making the bed,10,,This Love,,,,,,,,
,,,logical ,8.5,,I Know Places,,,,,,,,
,,,get him back!,8,,Clean,,,,,,,,
,,,love is embarrassing,9.5,,,,,,,,,,
,,,the grudge,9.25,,,,,,,,,,
,,,pretty isnt pretty,9.25,,,,,,,,,,
,,,teenage dream,10,,,,,,,,,,
